K,P,SAX_LEVEL,Time,VL,PL
50,3,5,0.6809830665588379,25.45813007951573,0.1541004167277453
50,3,8,0.9848408699035645,24.869467452709248,0.144954311917132
50,3,10,1.1788430213928223,22.461194587451743,0.14701032458767244
50,3,15,1.3934531211853027,22.85718625500907,0.13994530846564834
50,3,20,1.8993287086486816,21.687471967823583,0.1399269849741966
50,5,3,0.5141310691833496,28.80460589269807,0.16956357767461078
50,5,5,0.6060061454772949,25.54436632462212,0.15508248132758093
50,5,8,0.7704460620880127,25.106346111496663,0.14632328759103033
50,5,10,0.8690359592437744,23.118828172250275,0.1485883679193618
50,5,15,1.1030828952789307,22.699668149389016,0.14160062362615392
50,5,20,1.4435980319976807,22.196837415400346,0.14151280410919492
50,8,3,0.48854494094848633,28.782486178465046,0.16956357767461078
50,8,5,0.5700290203094482,25.742573657428323,0.15587959845513866
50,8,8,0.7005999088287354,25.22129447218188,0.1477223503230794
50,8,10,0.7610900402069092,23.57611712847566,0.149891480002632
50,8,15,0.9964447021484375,24.16828561670927,0.14322736840614597
50,8,20,1.302790880203247,22.638598784464435,0.1431367355916542
